,Pack Price
7908,7.72
7307,6.38
556,139.0
3984,89.0
7899,2.0
4782,32.0
4995,2.25
9090,7.78
5060,2.12
3760,5.94
2478,1.46
3505,80.0
7205,2.24
9477,8.26
651,70.0
4972,82.2
5113,29.0
4171,4.65
5865,20.0
4561,3.67
5612,20.0
9582,15.04
1123,16.5
3094,1.95
1894,2.15
7736,9.62
3616,6.75
7446,7.72
8013,17.14
4145,89.0
931,32.0
1054,32.0
70,76.0
9175,4.15
6180,32.0
5510,80.0
9253,8.26
6033,80.0
5335,80.0
9619,9.62
7594,4.22
7364,11.15
7176,6.42
1284,0.0
2712,32.0
6894,2.26
7432,10.78
9655,10.52
9242,8.11
3853,24.5
2906,22.5
8926,10.0
1287,17.0
2790,9.5
4421,2.5
8755,11.15
3580,2.49
8001,2.0
6664,1.95
5315,20.0
3466,6.85
10296,18.64
82,50.4
3690,3.5
4973,7.0
1066,41.1
3653,20.0
5495,89.0
4478,13.0
5015,89.0
5122,80.0
10241,11.23
8165,2.42
3219,93.14
7905,3.21
2455,41.1
4264,1250.0
2656,11.0
9957,2.66
4292,2.34
8425,21.42
1398,7.12
1765,2.1
256,90.0
6554,89.0
4884,9.28
3343,100.0
3347,60.82
8416,5.0
6022,2.18
9910,7.64
7991,7.5
8556,13.6
7898,11.36
339,32.0
1190,7.71
7558,5.73
1155,8.76
4550,80.0
9290,13.52
7806,4.0
5209,20.0
9315,18.9
587,139.0
5420,89.0
1519,3.4
1964,12.42
3418,30.82
6909,3.75
6322,5.74
1695,6.2
7802,7.27
9936,15.5
3141,10.5
3849,18.0
237,72.0
6437,89.0
1603,8.76
3827,80.0
3138,8.1
3995,80.0
3126,30.82
1868,16.5
4706,8.21
1825,2.44
5198,2.87
1078,3.4
8417,2.9
2636,11.4
4119,80.0
6128,70.0
9249,18.9
2725,23.26
5123,24.5
7850,6.6
2454,11.35
8638,13.27
5719,80.0
3662,100.0
5274,30.82
2539,7.4
1500,9.5
3824,4.53
2821,32.0
5535,89.0
9464,8.26
8573,8.23
8175,5.36
10113,9.81
7242,7.78
1181,26.25
2861,1.51
54,13.66
4695,7.82
8474,4.75
8871,9.6
7537,17.14
6921,11.36
2721,8.11
2835,80.0
7547,11.22
7607,2.33
3065,24.5
5836,4.62
4255,29.0
10302,1.92
4923,20.0
5218,33.1
8635,28.0
5259,80.0
6376,77.7
5319,6.65
1195,8.76
9356,2.44
1600,11.4
8461,2.66
8331,1.99
5034,89.0
8574,4.25
1075,9.5
6805,2.33
6005,2.54
3324,6.6
5255,6.85
9838,3.19
7523,10.0
10016,8.97
3101,20.0
9906,2.66
4870,89.0
5783,1.56
2045,8.0
8155,2.44
5953,30.82
4358,22.5
4377,10.02
2457,15.26
10252,4.0
6135,32.0
8343,20.22
9285,13.52
6626,3.28
6724,11.22
4081,20.5
6965,11.23
4521,5.43
3586,32.0
5949,2.37
6371,3.5
9428,11.22
4345,6.85
6361,4.39
2452,1.49
7638,1.4
3497,8.0
4713,1.45
3205,72.0
2846,10.45
3215,20.0
7828,8.58
10026,4.22
7047,2.1
3052,89.0
8038,38.75
2437,11.8
8532,15.89
3033,1.85
3880,80.0
8691,12.11
5430,5.0
8136,1.95
4986,7.82
486,41.1
2697,89.0
10059,4.12
6598,5.78
6906,8.26
2807,32.0
8456,4.75
9882,10.0
3074,4.15
8284,20.48
9855,8.76
1476,3.67
5712,7.58
7063,13.6
8101,11.22
4773,0.01
6265,2.25
7580,4.52
2670,11.4
4681,1.85
5324,1.25
2832,3.15
9490,2.33
7095,11.22
3346,7.43
8358,6.52
1309,2.91
1867,32.0
7959,1.67
6317,30.82
3530,7.3
2126,75.0
5503,32.0
2753,32.0
2385,3.4
7970,8.76
4730,55.5
4385,80.0
3276,50.0
6136,89.0
4150,2.72
3259,20.0
8807,3.21
1711,2.9
9685,3.33
8407,2.9
6195,36.16
7683,13.15
6234,10.95
7521,2.0
3271,32.0
5872,7.82
2818,6.83
8002,11.75
5072,19.33
1106,3.04
7182,4.76
2090,7.7
3481,32.0
6710,19.92
58,23.67
3634,3.19
6866,2.26
6923,5.87
1383,16.0
1828,8.76
2843,39.0
3901,10.5
8853,4.61
7878,19.71
5141,20.0
7705,7.78
8209,8.58
5919,2.35
6151,2.79
4142,4.51
9594,15.04
6797,2.1
