,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD)
7671,60,127,1858.01,25,211.0,2.6
7763,30,22000,266420.0,2435,25984.75,329.56
7152,30,72029,303962.38,7682,28541.79,501.54
2233,30,25000,275000.0,2267,15128.37,539.0
6670,30,1467,9638.19,9,1401.76,15.9
7853,120,33171,626931.9,7355,28647.52,644.49
2745,1,300,7350.0,182,2581.83,9.09
5014,60,1475,9735.0,96,678.83,13.65
362,20,839,26848.0,284,3261.37,52.62
9768,60,10000,40900.0,365,2436.32,42.05
6052,60,29107,238677.4,3647,18545.17,245.36
6191,20,5000,160000.0,1647,20626.58,264.0
6009,30,20370,72720.9,1619,9054.61,101.95
7338,60,16837,117859.0,1353,13924.23,145.79
9415,60,48551,544742.22,15664,11884.42,1174.46
175,100,1116,78120.0,256,7118.12,153.12
8939,30,1500,17625.0,109,2288.29,38.0
4863,100,915,91500.0,439,11941.94,150.98
1543,60,11569,109327.05,1072,8504.72,214.28
6910,60,6350,35433.0,320,1300.0,36.43
5284,60,97380,641734.2,8722,32208.32,793.83
3698,20,25,800.0,10,559.89,1.72
3386,60,7325,36625.0,455,4967.03,45.31
297,300,200,16440.0,340,2326.1,26.3
6998,240,4000,7960.0,10413,39599.1,8.18
7785,60,15117,124866.42,8057,10734.13,154.46
3568,270,420,43478.98,446,5017.18,71.74
6842,60,33571,75870.46,12785,37242.5,106.37
2560,200,2326,3535.52,232,1704.79,5.66
7770,30,30685,144219.5,5426,6506.75,178.4
6092,100,5000,400000.0,2384,43848.04,560.8
1983,30,25000,300250.0,6124,13353.34,480.4
8615,30,140273,777112.42,11734,27441.22,1089.51
8449,30,4500,24075.0,350,1854.0,51.91
2735,100,8298,738522.0,1427,16090.59,1218.56
1124,30,42768,85536.0,2493,4887.18,136.86
4908,30,47716,152214.04,3077,22734.92,156.48
5598,20,670,21440.0,234,3163.87,42.02
2281,60,60,240.0,4,396.08,0.52
3816,60,14142,119075.64,1741,3821.49,147.3
4043,100,5000,388500.0,1136,49573.62,837.61
8390,30,290000,2784000.0,37449,69097.98,2861.95
5242,300,68,2095.76,116,1818.56,2.94
9316,240,2966,20257.78,1067,6310.4,23.84
7156,30,1428,3198.72,1055,11490.2,5.28
3945,60,114996,931467.6,15435,56180.34,1152.23
1592,30,662,17377.5,58,7445.8,34.06
8794,60,75235,610155.85,9080,34551.83,627.24
3184,30,46500,499410.0,5342,9195.61,513.39
9969,60,16200,251100.0,1583,8098.12,541.37
8102,60,3850,5390.0,230,2936.8,8.89
2273,60,40230,458622.0,4531,30983.24,898.9
5557,336,680,26084.8,1299,9689.81,51.13
512,30,28034,195677.32,2268,19023.36,383.53
8646,30,34760,132435.6,3367,12589.74,185.67
8104,60,19200,48192.0,1936,9421.76,79.52
5237,30,435,974.4,25,1003.65,1.37
4116,100,246,19680.0,114,3278.11,27.59
2646,60,1067,3414.4,60,1981.1,6.69
5022,100,1,89.0,1233,13753.58,0.19
2795,1,4068,99666.0,2712,37680.04,102.46
3840,30,70331,467701.15,6564,12396.57,771.71
3298,100,2874,255786.0,1252,26380.35,358.61
5436,60,2688,86016.0,421,4022.89,168.59
2744,60,9095,62300.75,1736,8163.83,77.07
3524,300,21,1277.22,52,1097.08,1.79
8222,30,225035,3080729.15,25504,33770.41,4319.18
5802,30,19152,124488.0,1503,11884.14,244.0
1564,60,969,3779.1,71,1181.41,6.05
1689,60,2084,19798.0,237,1154.5,31.68
910,25,10000,200000.0,3345,29470.0,320.0
6752,30,26798,448330.54,3203,25231.96,628.56
3240,60,16245,131584.5,2368,11363.07,162.77
4268,30,75000,768000.0,9057,55886.43,789.5
6405,100,8200,656000.0,3896,69016.63,919.71
8239,60,12917,29709.1,2461,3592.8,36.75
8727,60,960,7958.4,111,1047.34,9.84
4859,30,32400,150660.0,3227,26930.79,186.37
1084,60,14052,103984.8,1420,5780.2,166.38
7091,240,480,6528.0,390,6438.38,14.07
1060,30,537,1074.0,143,2099.0,1.72
221,1,3510,80730.0,2535,22433.91,158.23
3394,60,26100,424125.0,2586,1170.2,914.41
1478,30,24140,48280.0,1434,3682.34,77.25
5265,30,39550,412506.5,4840,23796.98,485.52
3569,30,119251,508009.26,9461,7292.27,838.22
3861,100,350,28000.0,104,2023.76,60.37
1522,30,50000,600500.0,3422,5936.99,960.8
8187,60,19425,36907.5,1043,8043.57,51.74
4058,60,23003,50836.63,1483,11346.48,62.88
33,60,400,3352.0,23,2149.05,5.36
7216,60,5924,14869.24,1421,4322.6,20.85
2164,90,3330,53280.0,404,2313.55,85.25
4198,60,500,2970.0,65,985.26,3.05
7051,60,1437,4167.3,138,1211.48,8.17
2456,30,92000,1058000.0,7101,16702.26,2073.68
7486,30,12100,69938.0,36,3602.34,137.08
1339,60,38975,280620.0,13123,9161.95,448.99
4307,1,20000,600000.0,18580,241407.27,742.2
4686,100,9935,884215.0,4038,59711.34,908.97
3485,30,43657,180303.41,3720,35499.58,388.73
3423,20,3640,116480.0,1213,15504.42,192.19
3600,60,45359,83914.15,2773,8723.46,103.8
6120,240,20000,185600.0,7664,8301.76,306.24
7330,120,213,4639.14,928,4323.44,5.74
5509,100,3040,270560.0,1235,13383.47,334.68
8706,30,80000,266400.0,4847,14547.55,329.54
6595,240,3635,6979.2,1345,14489.1,15.05
1373,30,8192,90112.0,9516,101348.75,144.18
168,20,9000,288000.0,9000,55746.59,460.8
7635,30,17300,135286.0,2036,15635.84,223.22
4579,100,8787,702960.0,3567,51732.62,722.64
1335,100,30,2160.0,7,774.84,3.46
8849,60,33147,218770.2,32,5798.14,224.9
5960,20,728,23296.0,245,6897.71,38.44
9573,60,180000,1765800.0,23096,21347.13,2475.65
4117,240,20000,185600.0,7683,7073.56,306.24
247,30,60,1100.4,3000,428.91,2.16
3939,20,196,7157.92,47,4449.1,10.04
6104,60,36451,297075.65,4611,20618.55,367.48
600,60,280,1960.0,60,1516.05,3.84
9301,60,213502,1648235.44,31271,62693.85,1694.39
2707,30,243800,2801262.0,27549,24875.46,3465.16
9307,30,1764,6262.2,110,707.7,6.44
7122,60,32920,76703.6,18057,16868.38,165.37
580,60,3024,27972.0,703,10356.86,44.76
3028,30,5451,76859.1,1675,3401.49,126.82
5599,100,1800,144000.0,885,17806.34,237.6
8834,240,10000,13000.0,3731,4329.61,13.36
5171,30,44407,495138.05,5016,43408.7,612.49
9074,60,7452,97993.8,737,4496.13,137.39
8677,60,49295,113871.45,12032,29780.5,159.65
5574,20,360,11700.0,112,1414.69,13.77
4990,100,5102,408160.0,3543,13789.73,419.59
9310,120,41943,781817.52,10322,14266.13,803.71
467,20,5,160.0,3,1225.17,0.26
2965,100,30,10500.0,77,1800.48,10.79
2367,60,6597,62671.5,617,2891.6,100.27
907,100,3500,280000.0,1192,10879.22,448.0
63,540,34,1547.68,115,1755.87,2.48
6587,60,1260,1839.6,82,1211.48,3.61
1462,30,25037,407101.62,2213,18101.32,651.36
3286,20,5,160.0,3,603.53,0.31
6602,60,600,1638.0,306,3945.33,3.53
1086,60,8000,27200.0,1013,3646.0,43.52
9234,30,76134,905233.26,9400,43758.8,930.58
6004,100,1145,91600.0,647,13312.88,151.14
6794,60,10020,23346.6,645,16532.5,32.73
7870,60,10868,122047.64,1026,1138.29,125.46
1725,120,1530,125766.0,347,4220.15,201.23
7680,30,1092,2446.08,7,805.58,4.04
8389,30,43000,412800.0,68951,80039.1,424.36
6883,30,40250,134032.5,4223,4044.33,165.8
2921,30,43280,287812.0,4040,6121.42,474.89
4628,30,187,4349.62,16,958.85,5.38
5912,30,80381,555432.71,7503,6147.08,1197.51
9265,60,1419,6385.5,71,961.06,6.56
4304,60,40000,58000.0,2343,12751.68,95.7
7583,60,10776,77694.96,586,8045.76,167.51
3784,100,5359,428720.0,2131,62196.13,440.72
8278,30,3402,19969.74,392,4523.0,24.7
3833,60,612,3635.28,76,1259.05,4.5
4073,120,20280,733324.8,5089,31318.31,1209.99
7426,120,1819,35761.54,473,6001.52,36.76
1174,120,2034,83597.4,937,10990.36,163.85
6586,60,1060,4028.0,56,1211.48,7.89
6695,60,160058,1795850.76,26409,60432.88,2963.15
1740,60,2454,8343.6,231,4401.4,16.35
8746,90,5117,47588.1,333,1956.0,58.87
1812,60,214,1874.64,19,1133.0,3.67
2335,60,6200,10850.0,354,4147.9,17.36
7824,30,83000,925450.0,10998,75824.42,1144.78
6290,100,4000,400000.0,1624,14758.34,411.2
1729,30,8000,16000.0,8855,29883.7,31.36
6480,120,9517,320722.9,2368,17068.85,529.19
6813,120,24097,643389.9,6375,18661.97,902.03
6605,60,1907,29558.5,395,1042.58,57.93
4894,30,1625,21125.0,111,1206.62,34.86
4184,20,1400,44800.0,500,5061.46,96.59
7884,60,31153,116823.75,1739,10506.44,120.09
1401,60,21765,154966.8,1984,7329.83,303.73
3753,30,2800,9800.0,953,1593.67,10.07
7053,60,225,4819.5,306,4030.02,10.39
7988,60,90,675.0,4,521.52,1.46
3748,1,4050,99225.0,2700,35593.04,102.0
1923,240,965,1852.8,344,1729.0,2.96
1212,60,2430,3547.8,156,2298.6,7.65
5828,60,587,4020.95,85,1253.45,4.97
27,25,10000,200000.0,3335,28461.1,320.0
1986,60,4703,15049.6,455,3754.14,29.5
2774,720,1245,48555.0,859,5810.56,104.68
9444,60,36576,94366.08,4145,1647.0,203.45
9324,60,50000,386000.0,6201,12082.0,396.81
1869,60,10977,117234.36,957,3243.0,187.57
9109,60,22783,55134.86,1285,6265.36,77.3
5570,30,39600,415800.0,5986,2549.52,514.34
8785,120,15826,299111.4,3814,29674.92,370.0
6556,240,3528,6526.8,1296,9230.19,9.15
7861,60,5232,13027.68,414,770.14,13.39
6764,60,13860,97297.2,662,3848.91,136.41
1316,60,73012,540288.8,14083,11053.53,864.46
7162,60,38000,589000.0,10847,15973.89,971.85
2802,30,9000,179100.0,1081,5834.1,386.14
8598,60,43,100.19,2,91.42,0.14
109,100,20,7000.0,48,1172.11,13.72
711,60,9275,13448.75,432,7444.35,21.52
1736,60,15000,131400.0,1364,21215.4,257.54
6297,30,31579,135789.7,2585,11617.57,292.76
7310,60,8834,19964.84,1600,8699.8,24.7
5848,60,66660,168649.8,3211,4116.81,363.61
2994,100,336,26880.0,139,2234.96,27.63
4855,30,44293,303849.98,2951,5567.75,501.35
4707,100,4,32.0,2,942.64,0.05
3495,30,28330,188394.5,2645,5112.92,406.18
5433,20,4200,134400.0,1650,23167.84,263.42
5066,100,645,51600.0,267,3453.53,63.83
7911,60,6384,22982.4,382,1587.3,23.63
2939,300,2266,69838.12,2277,13894.08,71.79
5689,120,8225,676095.0,2018,10263.55,1457.66
773,100,24,1680.0,6,868.31,3.29
10099,60,629,8271.35,67,1618.12,11.6
6397,20,9250,296000.0,3058,31491.23,414.99
5583,60,1305,10061.55,150,2682.48,16.6
6503,300,86,2650.52,100,1952.77,2.72
9712,100,45285,58870.5,8998,5458.45,72.82
7804,30,48,225.6,29,594.4,0.28
7206,120,17030,574592.2,3508,1698.83,948.08
7553,30,650,7637.5,61,536.02,16.47
5628,100,3015,0.0,1249,20906.77,0.0
2338,60,42000,142800.0,3957,32483.5,228.48
4193,20,35,1120.0,191,2796.58,1.32
7279,240,42,525.0,16,839.7,0.74
7665,60,10350,24115.5,495,20548.8,33.81
6832,30,5580,26839.8,1187,9609.69,37.63
6655,30,140554,1651509.5,16961,16981.15,3560.65
1128,20,737,23584.0,231,5491.08,37.73
3163,60,15040,86329.6,1481,6390.83,186.13
7955,30,200,1156.0,22,709.02,2.27
6820,60,200000,484000.0,12028,15459.09,678.57
5687,30,384,7680.0,30,1119.09,9.5
1484,60,14000,24500.0,989,3452.0,39.2
2680,60,12873,37331.7,1258,6027.68,80.49
2227,30,662,17377.5,62,6443.61,34.06
1081,240,2000,3940.0,4213,38515.8,6.3
4572,60,12937,29755.1,875,2181.91,36.81
5114,60,8245,67609.0,759,7261.69,111.55
7639,30,26060,233758.2,2409,9346.8,385.7
8462,60,488,4274.88,39,9736.1,9.22
6658,60,336,2593.92,89,1221.83,5.59
5000,100,260,20800.0,109,2384.79,25.73
6237,100,6322,505760.0,2564,37444.1,519.92
593,30,5040,62294.4,301,4883.46,99.67
1967,30,1031,12382.31,236,1651.16,19.81
7448,60,12080,23556.0,10314,12867.46,24.22
6784,30,45840,179234.4,5486,27321.52,251.29
9258,240,7000,14700.0,2625,9868.54,15.11
9419,60,30000,336600.0,4050,15759.47,725.71
220,1,3470,79810.0,2509,19882.25,156.43
5971,20,416,13312.0,249,1640.99,18.66
9470,240,3500,6825.0,1313,5597.54,14.71
6936,60,6799,25496.25,292,1672.7,31.54
5426,100,1800,144000.0,865,13790.1,310.46
7138,240,2823,5928.3,1098,3567.53,9.78
4827,30,39554,130528.2,3823,11051.22,134.18
3546,60,150000,1215000.0,21674,90677.04,1502.96
4465,60,9744,14128.8,656,6158.0,30.46
9538,30,61060,251567.2,3718,19949.86,352.7
8301,240,2867,6020.7,5752,18607.76,7.45
5569,20,2388,74028.0,740,5718.39,76.1
9662,240,24977,48705.15,9174,7185.6,68.28
1286,60,219,383.25,16,472.5,0.61
5542,20,2600,83200.0,775,6164.1,97.93
2746,60,7600,15808.0,1292,2800.95,16.25
1239,60,52865,188728.05,9182,37695.46,301.96
5990,100,5698,569800.0,2314,22194.09,670.65
1364,300,40,1644.0,52,1287.77,3.22
6811,30,167825,1105966.75,26199,34356.26,1550.57
1202,60,7000,52710.0,396,6087.84,103.31
3118,30,34560,161395.2,3240,4263.07,347.97
4429,60,31528,171197.04,1899,10879.44,211.77
5251,20,2900,92800.0,266,8308.74,114.79
1554,240,4439,71689.85,1592,6708.25,140.51
2815,60,20000,40000.0,2806,18207.5,66.0
2206,30,883,15011.0,70,1169.9,29.42
4438,30,1902,38040.0,170,1965.62,47.06
7145,30,6872,89336.0,577,2143.5,147.4
1728,60,5000,39500.0,229,1774.3,77.42
3943,240,19098,43161.48,6876,461.5,71.22
7544,60,20000,224400.0,2406,6147.18,483.81
4394,100,8149,725261.0,3886,86928.23,1016.82
7185,30,700,1568.0,46,1274.98,2.59
6884,120,8599,187286.22,2293,4529.67,231.67
1014,100,150,10800.0,47,2681.23,21.17
6542,30,31875,148856.25,3005,4263.07,320.93
10220,30,119370,1297551.9,13429,13380.52,1605.07
1246,60,18290,155830.8,1114,3473.0,249.33
4554,60,1560,12542.4,166,1488.99,14.76
6995,30,42531,196918.53,7043,6852.08,202.43
4948,300,600,18492.0,554,5848.39,19.01
4922,30,1461,29950.5,154780,1664.12,64.57
5576,100,2744,244216.0,1186,24927.19,342.39
308,60,400,600.0,83,2426.05,0.96
5439,25,9475,189500.0,3158,24172.01,371.42
8256,60,7600,29564.0,415,2751.09,41.45
1978,60,13380,20739.0,925,9185.15,33.18
7452,60,75535,492488.2,6237,5443.53,506.28
2645,60,248,793.6,24,1547.94,1.56
5424,30,400,624.0,41,1317.01,0.64
1865,100,300,41700.0,176,2102.0,66.72
5767,30,3007,10734.99,262,3840.85,15.05
3700,60,18406,202466.0,2571,13880.57,334.07
8231,120,7677,167205.06,16376,14547.55,206.83
6833,60,647,4703.69,5897,40434.04,5.82
6063,30,19200,201600.0,2719,4084.56,207.24
3773,100,418,41800.0,205,6455.37,68.97
9859,60,80000,304000.0,4162,9939.38,595.84
5303,60,90,925.2,17,693.54,1.81
6748,60,92352,1036189.44,10832,3641.16,1709.71
2986,30,35955,167190.75,3520,23014.35,171.87
5172,30,2891,3613.75,156,1887.58,5.07
5138,100,2450,176400.0,1183,21170.3,380.32
6163,100,115,10235.0,53,1614.83,16.89
8578,60,6376,44759.52,639,889.94,73.85
2497,60,62000,458800.0,5778,20299.0,734.08
3284,20,3,96.0,0,1002.35,0.12
7971,60,4319,11790.87,409,1083.3,23.11
9579,60,6100,79056.0,681,16532.5,110.84
10085,240,26439,51556.05,9907,3853.89,85.07
9842,60,46,114.54,2,714.34,0.22
1063,30,24265,394548.9,2518,6667.0,631.28
568,20,1275,34425.0,483,4193.88,55.08
5160,30,55000,131450.0,3099,7321.43,283.41
6652,60,2000,4660.0,84,530.36,10.05
3445,60,18600,34410.0,2175,4354.8,35.37
681,25,390,14625.0,145,186.25,23.4
2204,30,196,2677.36,12,900.0,4.28
9682,30,12180,57246.0,1208,3738.52,70.81
1343,60,720,6732.0,66,772.04,13.19
2912,100,2863,229040.0,1159,15174.53,235.45
4875,30,768,4369.92,55,393.29,6.13
6144,1,800,18400.0,543,5456.44,39.67
3851,20,84,2688.0,33,939.38,2.76
9204,60,990,11345.4,597,2279.5,14.03
7589,60,2296,34440.0,17126,17941.46,74.25
7812,60,4637,18037.93,426,1761.5,18.54
7576,60,125000,1402500.0,16790,103428.0,3023.79
87,60,10560,72864.0,924,4225.93,142.81
9995,240,6250,12625.0,2409,3525.03,20.83
2911,20,2371,68759.0,939,8695.18,96.4
2436,30,60000,660000.0,5144,13853.29,1293.6
8763,240,4000,7440.0,1928,8050.55,9.2
1650,240,10624,65868.8,3785,13116.0,105.39
9119,60,50000,122000.0,7567,16697.66,171.04
4458,30,2418,58032.0,859,7894.76,95.75
3071,100,6000,480000.0,2439,30885.26,493.44
9898,30,336,1596.0,30,9736.1,3.44
6315,100,3036,270204.0,1233,20602.3,334.24
5340,240,11640,34920.0,4440,3283.59,75.29
5063,100,2744,219520.0,1303,22158.58,307.77
8570,30,68235,1359241.2,83,2094.34,2242.75
6969,30,2756,37261.12,248,1933.72,38.3
7612,60,4669,15314.32,357,2143.49,33.02
6867,60,475,1092.5,1982,8163.74,1.35
7776,30,3820,55657.4,3917,14547.55,68.85
8004,60,5869,65850.18,758,8929.51,141.97
1949,40,415,31540.0,453,1606.93,50.46
2998,100,3173,253840.0,1287,9209.0,260.95
799,30,32510,381992.5,2791,28336.18,611.19
4227,30,12600,57960.0,1278,15106.61,71.7
5222,60,16645,39115.75,742,5440.01,64.54
5385,100,4131,320978.7,937,11566.55,692.03
400,60,35616,240408.0,3479,10048.1,471.2
6541,60,12700,141605.0,1572,13479.25,277.55
1755,30,67,1758.75,666,4503.0,3.45
564,100,7,2450.0,17,587.63,3.92
7154,240,390,819.0,140,2503.33,1.77
827,25,500,10000.0,157,1754.04,19.6
606,100,1174,82180.0,268,5243.53,161.07
3152,120,5600,340592.0,1368,4489.32,350.13
7910,60,100000,652000.0,8855,33900.99,670.26
2796,100,2132,170560.0,1017,14959.84,239.13
6218,30,1800,45000.0,225,3109.21,63.09
8348,60,6,48.66,6589,26731.0,0.05
6182,60,49920,284044.8,4799,10959.54,612.4
3987,20,8460,270720.0,2770,26281.49,334.88
3451,100,544,48416.0,226,5613.63,59.89
1248,60,3896,139476.8,3369,9689.0,223.16
7882,60,715,8029.45,116,891.0,8.25
2679,60,4410,6438.6,286,3842.22,13.88
4670,100,2744,219520.0,1303,22223.94,307.77
734,25,7,525.0,3,85.27,1.03
5166,30,1700,40800.0,570,9054.08,87.96
6379,25,40,800.0,14,706.18,1.32
1508,60,7558,71423.1,2166,20578.2,114.28
7450,240,10,19.9,71,1334.92,0.02
8654,30,120954,440272.56,11369,15459.09,617.26
8350,60,1240,6919.2,73,4937.65,7.11
5281,180,3355,56900.8,1006,2530.73,111.53
3511,120,93,7839.9,22,140.0,12.94
5587,100,3076,273764.0,1249,20705.23,338.65
10184,60,61591,255602.65,2641,4529.65,316.18
8418,30,8660,50054.8,742,1211.49,98.11
4440,100,5538,443040.0,5538,25380.88,455.45
6968,30,12710,40799.1,9511,10217.02,41.94
4637,120,1785,146727.0,266,6937.66,316.34
8199,30,112873,1366892.03,12838,111318.14,1916.38
4290,30,24917,284053.8,3227,20654.13,292.01
4280,300,1500,46230.0,1374,15509.16,64.81
7161,30,49425,208573.5,4235,29352.17,344.15
4202,20,30,960.0,10,910.73,1.58
6562,20,1513,48416.0,410,5577.13,67.88
3344,100,8000,640000.0,3803,64075.1,897.28
3737,60,164950,593820.0,9210,7510.0,610.45
4704,100,3073,273497.0,1248,20602.3,338.32
3644,60,42452,343861.2,5753,49502.92,425.36
4441,60,104636,284609.92,11275,8527.46,469.61
6588,60,5907,14413.08,283,4969.95,28.25
8837,60,15000,29850.0,1037,891.65,30.69
5776,60,840,6300.0,57,8747.56,12.35
1512,60,90955,673067.0,16579,8654.7,1076.91
7222,30,847,4692.38,85,1857.04,6.58
8459,60,200,1170.0,21,1000.05,2.52
1132,60,12833,94964.2,1316,3056.96,151.94
8005,30,950,4370.0,76,1017.15,9.42
7044,240,2000,4200.0,749,2336.27,8.23
4460,100,6158,548062.0,2493,31090.27,563.41
5762,30,1984,15038.72,46,1899.89,15.46
2329,30,25338,314697.96,1974,7836.6,503.52
2034,30,100000,1100000.0,7736,10069.54,2156.0
1906,18,12,3698.04,39,1278.0,5.92
2717,120,121,9075.0,43,199.0,12.72
3161,30,252,3276.0,1553,13320.8,7.06
7353,60,51520,119011.2,19991,10942.88,147.22
5526,1,1600,39200.0,1111,8542.94,54.96
5895,100,5681,505609.0,2307,26294.95,595.1
3113,60,1652,10721.48,146,746.89,13.26
2396,60,500,775.0,33,578.24,1.24
8079,60,3173,7393.09,170,13398.06,12.2
9723,240,2907,6104.7,1122,5520.83,6.28
302,20,2220,71040.0,732,6524.19,113.66
29,60,64000,99200.0,4228,12237.61,158.72
3405,100,1130,90400.0,537,10626.8,126.74
8378,60,71377,465378.04,11342,15715.08,478.41
1150,60,125010,900072.0,3918,1012.43,1440.12
172,100,3000,215970.0,682,5298.9,345.55
3538,30,48000,310560.0,3247,7180.16,512.42
3879,100,1224,97920.0,588,11491.6,161.57
8279,240,5233,7587.85,1855,6638.3,9.39
9095,30,2528,27808.0,740,4754.52,38.99
2095,60,7426,79309.68,3073,7947.0,126.9
2768,30,3528,22932.0,383,1162.52,44.95
3336,300,420,12944.4,494,2737.95,13.31
3609,100,8657,770473.0,4203,44128.81,1271.28
738,1,3510,80730.0,2535,23035.69,158.23
832,60,20,205.6,19,658.68,0.33
7417,60,4636,52664.96,458,4130.15,54.14
3438,30,1200,1836.0,52,428.66,2.57
1094,100,2100,151179.0,498,2292.6,241.89
2261,60,8766,21389.04,447,4257.01,41.92
38,40,476,36176.0,509,5446.51,57.88
9505,240,592,8051.2,195,221.96,13.28
7320,60,180,2332.8,123,1501.4,2.89
7427,60,13709,74439.87,797,3340.5,76.52
4214,120,120,10800.0,18,1190.02,21.17
7150,60,12609,104150.34,4114,13398.06,171.85
4087,100,2917,233360.0,1361,24410.67,288.67
2996,100,172,791.2,33,882.81,0.98
3903,30,17760,177600.0,2516,3809.94,209.04
1473,100,595,42834.05,200,1642.0,68.53
1989,60,10530,25693.2,544,5029.05,50.36
196,100,1123,78610.0,257,2851.72,154.08
177,100,213,15333.87,49,959.46,24.53
8974,60,150000,399000.0,8754,8109.91,860.24
5378,20,65,2080.0,21,593.72,3.43
8032,60,7925,21080.5,18041,8953.2,45.45
5645,240,50000,103000.0,18417,11534.48,169.95
4162,20,750,24000.0,248,6654.24,39.6
1809,60,4501,51311.4,507,7445.8,100.57
9745,90,819,7616.7,58,1551.0,7.83
8023,30,30000,352500.0,2700,6147.18,759.99
8084,60,14770,79462.6,2192,10829.6,131.11
6827,60,13830,133044.6,2400,18337.82,186.53
123,25,67,5025.0,48,401.97,9.85
8283,60,5800,22562.0,248,2431.36,27.91
3441,3,10,250.0,6,322.12,0.49
3536,300,2166,78322.56,2480,18756.25,168.86
6215,60,635,1206.5,59,1944.99,1.24
9626,60,2512,5677.12,177,3255.61,7.02
3254,30,110291,497412.41,9375,9951.38,820.73
5212,100,4000,320000.0,1556,28703.53,376.64
8292,60,1864,7456.0,89,790.29,9.22
5411,60,1887,17926.5,312,781.5,38.65
8029,60,34801,95006.73,3951,6147.18,204.83
8584,60,23940,350242.2,1500,1698.83,577.9
8999,30,45000,194400.0,5075,23711.16,320.76
4663,60,10817,29422.24,1172,19007.72,48.55
3085,60,448,2661.12,63,1317.82,2.74
9363,240,7107,14924.7,2633,3688.33,29.25
10219,60,93700,773962.0,12220,42859.56,957.39
9992,60,31043,77917.93,1785,7962.25,167.99
1019,100,2500,180000.0,740,7513.71,388.08
6808,60,270,599.4,513,4934.43,0.84
4314,60,15153,35609.55,3595,12632.99,76.77
5083,1,4230,103635.0,2820,37130.88,106.54
1085,30,3690,10147.5,226,1370.28,16.24
8799,60,30666,67771.86,1878,11085.83,83.83
9613,60,13152,38798.4,1045,6152.0,54.4
2119,60,1848,17556.0,402,4807.0,28.09
6980,240,27264,41168.64,10191,8520.87,42.32
1392,60,90,219.6,5,537.32,0.43
6938,30,10267,58932.58,816,3623.2,72.9
3671,20,240,7680.0,83,1215.46,12.67
2886,60,63200,347600.0,4007,23397.41,357.33
6729,60,13836,34728.36,1332,6476.7,57.3
4763,60,6160,40040.0,356,2543.67,41.16
9421,60,110000,283800.0,12543,1979.75,611.87
3643,20,3750,120000.0,1072,16036.98,198.0
8717,30,10415,109565.8,1400,5718.69,135.53
6458,20,7200,230400.0,2521,22460.87,496.74
7184,30,500,1120.0,30,1309.03,1.85
7481,60,940,3290.0,49,1211.49,6.45
2674,60,16912,192796.8,1905,9341.49,377.88
8143,60,75000,841500.0,10746,22878.26,1388.48
4297,60,497,2857.75,117,658.27,3.54
4072,100,434,34720.0,169,4498.98,35.69
899,120,5000,205500.0,1246,10490.77,402.78
5362,1,112,0.0,46,1428.23,0.0
122,100,5,1750.0,12,684.42,3.43
1179,60,486,1409.4,23,968.55,2.76
7243,60,99999,243997.56,13437,21347.12,342.08
7041,60,50,122.0,112,7445.8,0.24
62,60,38640,92736.0,2719,18614.72,148.38
3411,100,3293,255866.1,747,14934.26,422.18
7172,30,47312,199656.64,20230,79938.08,329.43
3021,25,87,8265.0,40,1333.4,11.59
1394,60,2106,5138.64,3545,3599.76,10.07
1921,100,1250,89987.5,362,8143.19,143.98
4219,30,7000,8750.0,480,5325.3,10.82
6185,60,3024,4384.8,202,1615.88,8.59
1044,60,300,537.0,54,1283.24,0.86
2817,60,270,12501.0,59,180.0,26.95
8602,60,2596,6048.68,125,1831.41,9.98
6464,240,11644,34932.0,4442,3283.59,75.31
7025,60,68000,118320.0,6221,9341.81,121.63
4433,100,4758,423462.0,1934,28895.07,435.32
1636,30,570,1949.4,35,364.51,3.12
2062,60,4500,10980.0,658,4311.22,21.52
3814,25,154,14630.0,87,2445.68,15.04
1643,30,3200,52032.0,280,1300.45,83.25
7403,60,1379,2399.46,157,926.7,2.47
1563,60,125009,900064.8,7910,1012.43,1440.1
5243,30,34,765.0,13,766.62,1.26
9534,60,51355,125819.75,6436,25231.96,207.6
3055,60,688,1651.2,53,571.53,3.24
5751,60,37589,268761.35,3267,13180.76,376.8
3456,30,44717,349686.94,3071,3646.13,753.93
1059,60,53546,396240.4,5467,18941.31,633.98
116,100,7500,600000.0,2215,16835.31,1176.0
7289,90,5765,42084.5,350,2266.0,59.0
7766,30,24042,145934.94,2006,3300.95,204.6
6905,60,16000,112000.0,1412,20049.08,138.54
9093,60,38347,105837.72,1502,6900.62,148.38
3657,100,5500,440000.0,14938,43304.68,616.88
2340,60,12745,43333.0,1197,8332.0,69.33
4047,120,4165,342363.0,1010,5417.87,738.13
7844,60,1135,6333.3,282,5380.36,6.51
119,40,1000,110000.0,1101,8074.03,215.6
5341,120,3240,117158.4,800,5322.35,252.59
4086,30,8388,54522.0,544,9141.18,89.96
4121,20,5,135.0,1,283.21,0.29
6357,120,15321,390685.5,3888,17405.65,547.74
4564,30,63421,272710.3,5101,13241.08,587.96
5223,30,70942,321367.26,6090,11203.81,692.87
3701,60,9030,95718.0,1054,5726.24,157.93
6650,60,32040,359488.8,4212,6147.18,775.06
3209,60,19600,120540.0,1926,12423.96,236.26
9453,120,2680,96908.8,549,3600.65,159.9
