,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD)
1201,60,108000,946080.0,10865,13518.56,1854.32
1177,30,145000,1741450.0,11186,9330.0,2786.32
2687,100,1468,117440.0,638,12922.07,145.27
5694,100,3056,271984.0,1248,13325.5,336.44
7139,60,25000,213750.0,2565,4471.07,460.84
6469,1000,602,15230.6,488,7393.13,21.35
4896,30,2800,14980.0,273,2964.49,21.0
7476,60,940,3290.0,69,5028.05,6.45
4614,100,10,800.0,5,767.63,1.32
432,60,38784,271488.0,4124,10500.0,434.38
10081,240,24496,47767.2,9080,6483.81,66.97
271,100,2000,144000.0,590,5962.58,310.46
5797,20,108,3456.0,41,897.87,5.7
719,30,6180,101970.0,2130,17331.66,163.15
3811,120,501,18036.0,151,297.25,18.54
7925,60,45671,297774.92,4055,4112.56,350.48
7293,60,39096,284227.92,3591,7733.77,351.59
1718,60,1450,19575.0,167,1472.77,31.32
8321,60,74623,605192.53,10073,7048.57,622.14
3037,300,1500,46230.0,1374,10365.13,57.19
5179,30,4950,118800.0,1650,11737.26,232.85
6800,60,52770,407384.4,16510,82283.9,571.15
2408,20,1250,40000.0,393,157.5,78.4
3122,20,7000,224000.0,2373,29878.21,482.94
485,36,80,6800.0,33,812.0,13.33
1979,60,1001,9359.35,82,1151.48,14.97
4130,20,1052,30508.0,334,2335.9,50.34
10053,30,27574,167649.92,2376,25231.96,235.05
5909,240,32000,320640.0,12264,10277.92,529.06
3664,20,4500,144000.0,1353,17507.94,178.13
1193,30,30000,291600.0,3364,7329.83,571.54
7231,60,6026,14703.44,6944,17090.0,20.61
6039,1,20,460.0,16,486.18,0.76
6690,30,124,1054.0,8,940.23,2.27
232,60,9000,21600.0,2228,9809.7,42.34
3783,60,24000,70080.0,2830,5159.34,151.09
5273,240,5590,11850.8,2068,3961.69,19.55
5108,30,65,130.0,4,783.21,0.16
2267,30,92095,1059092.5,7686,6759.28,2075.82
7265,120,8517,252784.56,2078,15761.76,354.4
481,30,24963,1258135.2,2462,3451.41,2465.94
2920,60,336,2520.0,120,9013.85,4.94
44,20,1425,38475.0,483,5468.88,61.56
7439,30,20000,92600.0,2000,8499.16,95.19
4082,100,2744,244216.0,1186,24927.19,342.39
4540,60,48127,95772.73,2383,18232.17,98.45
6377,120,1865,36031.8,463,3222.27,44.57
