,Unit Price
2114,0.55
3577,0.1
6527,0.11
8257,0.04
159,0.55
7666,0.56
3204,0.1
9153,0.13
3938,0.8
6777,0.18
7820,0.14
10096,0.22
1587,0.06
4288,0.22
4134,0.11
7559,0.12
121,0.19
8843,0.11
5525,0.01
7908,0.13
7307,0.21
556,1.39
3984,0.89
7899,0.03
4782,1.6
4995,0.04
9090,0.13
5060,0.01
3760,0.1
2478,0.02
3505,0.8
7205,0.07
9477,0.14
651,0.7
4972,0.68
5113,1.45
4171,0.16
5865,0.8
4561,0.06
5612,0.67
9582,0.5
1123,0.07
3094,0.01
1894,0.01
7736,0.16
3616,0.22
7446,0.13
8013,0.29
4145,0.89
931,1.6
1054,1.6
70,1.9
9175,0.07
6180,1.6
5510,0.8
9253,0.14
6033,0.8
5335,0.8
9619,0.16
7594,0.14
7364,0.37
7176,0.21
1284,0.0
2712,1.6
6894,0.04
7432,0.36
9655,0.35
9242,0.14
3853,24.5
2906,0.75
8926,0.33
1287,0.57
2790,0.16
4421,2.5
8755,0.37
3580,0.04
8001,0.01
6664,0.01
5315,0.8
3466,0.11
10296,0.16
82,1.68
3690,0.06
4973,0.12
1066,0.34
3653,0.67
5495,0.89
4478,0.43
5015,0.89
5122,0.8
10241,0.19
8165,0.04
3219,0.78
7905,0.11
2455,0.34
4264,25.0
2656,0.37
9957,0.04
4292,0.04
8425,0.36
1398,0.12
1765,0.01
256,0.9
6554,0.89
4884,0.04
3343,1.0
3347,0.51
8416,0.05
6022,0.04
9910,0.25
7991,0.12
8556,0.06
7898,0.19
339,1.6
1190,0.13
7558,0.1
1155,0.15
4550,0.8
9290,0.45
7806,0.13
5209,0.8
9315,0.16
587,1.39
5420,0.89
1519,0.06
1964,0.41
3418,0.1
6909,0.06
6322,0.19
1695,0.03
7802,0.12
9936,0.26
3141,0.35
3849,0.6
237,0.72
6437,0.89
1603,0.15
3827,0.8
3138,0.13
3995,0.8
3126,0.1
1868,0.07
4706,0.14
1825,0.04
5198,0.05
1078,0.06
8417,0.05
2636,0.19
4119,0.8
6128,0.7
9249,0.16
2725,0.78
5123,24.5
7850,0.11
2454,0.19
8638,0.44
5719,0.8
3662,1.0
5274,0.1
2539,0.12
1500,0.16
3824,0.15
2821,1.6
5535,0.89
9464,0.14
8573,0.27
8175,0.18
10113,0.16
7242,0.13
1181,0.88
2861,0.01
54,0.46
4695,0.26
8474,0.16
8871,0.32
7537,0.29
6921,0.19
2721,0.14
2835,0.8
7547,0.19
7607,0.04
3065,24.5
5836,0.15
4255,1.45
10302,0.03
4923,0.67
5218,0.03
8635,0.47
5259,0.8
6376,0.78
5319,0.22
1195,0.15
9356,0.04
1600,0.19
8461,0.04
8331,0.03
5034,0.89
8574,0.07
1075,0.16
6805,0.04
6005,0.04
3324,0.11
5255,0.11
9838,0.11
7523,0.33
10016,0.3
3101,0.8
9906,0.04
4870,0.89
5783,0.05
2045,0.27
8155,0.04
5953,0.1
4358,0.75
4377,0.04
2457,0.17
10252,0.07
6135,1.6
8343,0.17
9285,0.45
6626,0.05
6724,0.19
4081,0.82
6965,0.19
4521,0.09
3586,1.6
5949,0.04
6371,0.12
9428,0.19
4345,0.11
6361,0.07
2452,0.02
7638,0.02
3497,0.08
4713,0.02
3205,0.72
2846,0.17
3215,0.67
7828,0.14
10026,0.14
7047,0.01
3052,0.89
8038,0.32
2437,0.2
8532,0.26
3033,0.01
3880,0.8
8691,0.4
5430,5.0
8136,0.01
4986,0.26
486,0.34
2697,0.89
10059,0.14
6598,0.19
6906,0.14
2807,1.6
8456,0.16
9882,0.33
3074,0.07
8284,0.17
9855,0.15
1476,0.06
5712,0.25
7063,0.06
8101,0.19
4773,0.0
6265,0.04
7580,0.15
2670,0.19
4681,0.03
5324,0.04
2832,0.01
9490,0.04
7095,0.19
3346,0.12
8358,0.11
1309,0.05
1867,1.6
7959,0.03
6317,0.1
3530,0.12
2126,3.0
5503,1.6
2753,1.6
2385,0.06
7970,0.15
4730,0.92
4385,0.8
3276,0.28
6136,0.89
4150,0.05
3259,0.33
8807,0.11
1711,0.05
9685,0.11
8407,0.05
6195,0.3
7683,0.22
6234,0.36
7521,0.01
3271,1.6
5872,0.26
2818,0.03
8002,0.39
5072,0.32
1106,0.05
7182,0.05
2090,0.13
3481,1.6
6710,0.66
58,0.79
3634,0.11
6866,0.04
6923,0.2
1383,0.18
1828,0.15
2843,0.05
3901,0.35
8853,0.15
7878,0.16
5141,0.67
7705,0.13
8209,0.14
5919,0.04
6151,0.05
4142,0.15
9594,0.5
6797,0.01
7457,0.15
2602,0.06
3183,1.45
7587,0.02
8411,0.12
1747,0.12
7520,0.19
7313,0.14
2833,0.8
1657,0.41
9288,0.04
5998,0.11
1541,0.01
1146,0.06
7363,0.06
5469,0.14
6912,0.16
1497,0.01
9406,0.19
9739,0.14
2384,0.4
3507,24.5
6684,0.07
2813,0.8
894,1.6
1518,0.16
8543,0.01
8692,0.4
1295,0.18
5351,0.89
397,0.2
10108,0.18
8906,0.05
5488,0.8
1348,0.88
4135,0.08
5988,1.6
4030,0.12
3908,0.89
1093,0.07
9050,0.18
9664,0.11
3292,0.12
8395,0.13
6178,0.56
1717,0.4
4571,0.8
10185,0.13
117,0.8
2438,0.19
4457,0.09
5325,1.55
3946,0.26
2740,3.5
3444,0.16
7454,0.13
8324,0.19
7300,0.47
1164,0.16
8170,0.13
6555,0.89
817,1.6
7636,0.01
9856,0.19
6097,0.11
6522,0.23
5295,0.1
2092,0.09
4102,1.6
8203,0.46
7854,0.15
2307,0.06
8958,0.05
1271,1.17
8392,0.16
4270,0.12
3213,0.14
4329,0.35
10293,0.12
5726,1.6
8874,0.1
5487,1.45
5806,0.12
7269,0.25
3167,0.1
6269,0.7
934,23.0
9577,0.13
2749,0.26
7259,0.5
6994,0.14
2022,0.06
9981,0.14
7123,0.38
3434,0.89
7308,0.2
2416,0.37
10007,0.01
3567,0.31
5970,0.22
7425,0.36
9194,0.19
2146,0.06
2694,0.38
6115,0.19
5770,0.11
4296,0.89
3214,0.15
154,0.68
5339,0.08
5024,0.1
2665,0.19
6209,0.05
2681,0.8
7502,0.07
4544,0.05
6007,0.04
178,3.5
5298,0.04
559,1.35
6674,0.29
6262,0.18
7407,0.11
8353,0.11
1389,0.19
7571,0.39
1751,0.12
1548,0.4
7254,0.22
1402,0.19
2760,0.04
1110,0.22
7957,0.26
3980,0.04
8248,0.11
3565,24.5
8632,0.24
2001,0.39
6955,0.36
9133,0.12
3377,1.6
845,23.0
5741,1.6
8148,0.1
7086,0.88
3222,0.78
7411,0.36
841,0.72
7302,0.03
8701,0.12
1458,1.39
4745,0.8
9200,0.14
3319,0.1
1353,0.12
404,3.5
1457,0.12
474,0.0
6803,0.04
1889,0.41
3251,0.12
2729,0.36
3687,0.29
9264,0.17
2690,0.12
8434,0.01
8547,0.19
7401,0.06
5224,1.6
2444,0.09
1912,0.18
6083,0.86
5876,0.05
8096,0.01
2368,0.12
3590,0.67
6850,0.12
6023,0.13
1590,0.19
2188,0.06
6659,0.06
2762,0.04
3247,0.35
6580,0.15
4633,0.05
371,0.34
884,1.39
2830,0.15
8900,0.19
3119,0.89
7792,0.11
4785,1.6
1380,0.19
2743,1.6
8796,0.36
6247,0.78
10002,0.04
6186,1.6
6160,0.01
3230,0.47
6372,0.09
4582,0.29
7079,0.05
3211,0.89
4815,0.1
1061,0.12
829,0.68
1039,0.34
3039,1.6
5681,0.14
3669,0.8
10019,0.01
1749,0.04
1327,0.06
5820,0.14
9445,0.66
1090,0.03
7732,0.12
6810,0.13
3389,0.07
5207,0.1
8457,0.13
4370,0.68
3400,0.11
7651,0.14
5158,1.6
7348,0.14
4528,1.6
5004,0.89
969,1.35
7887,0.45
5924,0.04
4970,0.51
1486,0.09
8857,0.16
4339,0.8
7548,0.39
8788,0.13
9808,0.04
6779,0.13
2719,0.22
5306,0.1
8506,0.66
2842,0.21
1639,0.8
5942,1.6
1745,0.01
3841,0.35
2192,0.88
4954,0.8
9114,0.16
7543,0.19
8709,0.43
4982,1.6
7749,0.03
2012,0.01
4909,24.5
7581,0.04
9572,0.01
7071,0.17
7410,0.11
7385,0.01
2876,0.04
1356,0.12
6485,0.89
9240,0.14
8660,0.11
6546,0.1
6303,0.18
8179,0.04
2366,0.4
9492,0.02
4899,0.01
6158,0.24
5696,1.99
8384,0.33
6696,0.19
2888,0.06
3261,0.49
1634,0.34
7848,0.09
7143,0.22
9926,0.39
2458,0.88
3559,0.11
7082,0.31
7283,0.13
2575,0.46
7577,0.14
